Zone,Id,Type,Lat,Long
Zone_1,3422,single_house,7.75265895,48.62847994
Zone_1,3480,single_house,7.75205011,48.62911691
Zone_1,3487,single_house,7.751046638,48.62918865
Zone_1,3504,single_house,7.751723666,48.62935766
Zone_1,3495,single_house,7.751412772,48.62922844
Zone_1,3498,single_house,7.750557696,48.6293745
Zone_1,3501,light_building,7.750791351,48.62939743
Zone_1,3505,light_building,7.751261298,48.6294173
Zone_1,3477,single_house,7.751379229,48.62912333
Zone_1,3474,single_house,7.752943601,48.62902987
Zone_1,3476,garage,7.75333766,48.62903968
Zone_1,3499,garage,7.753258989,48.62926517
Zone_1,3489,single_house,7.753363001,48.62914689
Zone_1,3478,single_house,7.753540756,48.62901515
Zone_1,3530,single_house,7.751814946,48.62961331
Zone_1,3519,single_house,7.751333161,48.62958141
Zone_1,3644,single_house,7.750639506,48.63038799
Zone_1,3598,single_house,7.750628517,48.63016124
Zone_1,3523,single_house,7.750639017,48.62961529
Zone_1,3516,single_house,7.751009902,48.62957837
Zone_1,3378,single_house,7.753554882,48.62761455
Zone_1,3392,single_house,7.752974114,48.62786103
Zone_1,3399,single_house,7.75351889,48.62800846
Zone_1,3404,single_house,7.753414223,48.62813079
Zone_1,3379,single_house,7.753017394,48.62763891
Zone_1,3373,single_house,7.752658886,48.62760265
Zone_1,3377,single_house,7.75233255,48.62768299
Zone_1,3354,single_house,7.751079922,48.62731563
Zone_1,3338,single_house,7.751056409,48.62711077
Zone_1,3350,single_house,7.751551464,48.62725354
Zone_1,3341,single_house,7.751619423,48.62711371
Zone_1,3333,single_house,7.75117271,48.626993
Zone_1,3395,single_house,7.752349098,48.62792748
Zone_1,3401,single_house,7.753001477,48.62804711
Zone_1,3382,single_house,7.751935987,48.62778511
Zone_1,3357,single_house,7.75194694,48.6273869
Zone_1,3372,single_house,7.751746265,48.62764906
Zone_1,3368,single_house,7.751849176,48.62753739
Zone_1,3369,single_house,7.751119587,48.6275913
Zone_1,3361,single_house,7.751052085,48.62747566
Zone_1,3356,single_house,7.751356286,48.62740318
Zone_1,3397,single_house,7.753245971,48.62792911
Zone_1,3347,single_house,7.75184858,48.62717172
Zone_1,3355,single_house,7.752416218,48.62731904
Zone_1,3335,single_house,7.751396808,48.62705344
Zone_1,3329,single_house,7.750947748,48.62693397
Zone_1,3371,single_house,7.751281077,48.62763876
Zone_1,3364,single_house,7.752260031,48.62748968
Zone_1,3388,garage,7.752592243,48.62788012
Zone_1,3370,single_house,7.753160499,48.62750071
Zone_1,3390,single_house,7.753588031,48.62779271
Zone_1,3362,single_house,7.752746357,48.62741037
Zone_1,3383,single_house,7.753367272,48.62771876
Zone_1,3442,single_house,7.753542533,48.62869819
Zone_1,3433,single_house,7.753514703,48.62857293
Zone_1,3421,single_house,7.753389791,48.6284136
Zone_1,3508,single_house,7.753087429,48.62936663
Zone_1,3515,single_house,7.753470102,48.62942857
Zone_1,3438,garage,7.752024275,48.62871515
Zone_1,3423,single_house,7.751248582,48.62854455
Zone_1,3428,single_house,7.751528533,48.62857281
Zone_1,3473,single_house,7.750680331,48.62909053
Zone_1,3472,single_house,7.751846426,48.62906808
Zone_1,3506,single_house,7.752656507,48.62935305
Zone_1,3468,single_house,7.75238782,48.62901162
Zone_1,3403,collective_house,7.750770369,48.62815533
Zone_1,3391,collective_house,7.750925572,48.62794098
Zone_1,3393,single_house,7.75155705,48.6279235
Zone_1,3454,single_house,7.752981692,48.62869917
Zone_1,3415,single_house,7.753049803,48.62834235
Zone_1,3609,single_house,7.751584644,48.6301874
Zone_1,3627,single_house,7.751336695,48.63029509
Zone_1,3591,garage,7.753021494,48.62994632
Zone_1,3557,single_house,7.751081448,48.62989802
Zone_1,3570,single_house,7.751317131,48.62992595
Zone_1,3576,single_house,7.751538622,48.62998203
Zone_1,3653,single_house,7.753203618,48.63028041
Zone_1,3554,single_house,7.750856212,48.62987071
Zone_1,3662,single_house,7.751283595,48.63046961
Zone_1,3668,single_house,7.751000316,48.63051668
Zone_1,3652,single_house,7.751601365,48.63040414
Zone_1,3671,single_house,7.750709246,48.63056727
Zone_1,3647,single_house,7.752155935,48.6303369
Zone_1,3640,single_house,7.752378708,48.63029114
Zone_1,3543,collective_house,7.752537871,48.62969129
Zone_1,3607,commercial_building,7.753455988,48.62985935
Zone_1,3602,single_house,7.752099034,48.63012279
Zone_1,3583,collective_house,7.74794956,48.6301475
Zone_1,3571,single_house,7.747694321,48.63012531
Zone_1,3681,collective_house,7.750176058,48.63055798
Zone_1,3639,single_house,7.748765969,48.63045876
Zone_1,3573,single_house,7.747447503,48.63008416
Zone_1,3488,single_house,7.747977247,48.62939255
Zone_1,3832,single_house,7.747963972,48.63146565
Zone_1,3821,single_house,7.747685799,48.63147195
Zone_1,3823,single_house,7.747227716,48.63148717
Zone_1,3746,single_house,7.749064866,48.63101729
Zone_1,3802,single_house,7.748679215,48.63133899
Zone_1,3682,single_house,7.747354608,48.63077689
Zone_1,3808,single_house,7.748443481,48.63138028
Zone_1,3729,single_house,7.748454865,48.63097618
Zone_1,3684,single_house,7.748179777,48.63075699
Zone_1,3736,single_house,7.748190679,48.63099885
Zone_1,3822,single_house,7.748992135,48.63143395
Zone_1,3878,single_house,7.748314763,48.63172656
Zone_1,3853,single_house,7.748797459,48.63154634
Zone_1,3908,single_house,7.747985236,48.6318494
Zone_1,3785,single_house,7.74736069,48.63128867
Zone_1,3714,single_house,7.747046983,48.63092282
